epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7847774624824524,9.999999747378752e-05,0.6580044031143188,0.8510312438011169,0.44529932737350464
1,0.8799734711647034,9.999999747378752e-05,0.3541252613067627,0.8804348111152649,0.36454424262046814
2,0.9030356407165527,9.999999747378752e-05,0.28506770730018616,0.8860089182853699,0.33588555455207825
3,0.9158070683479309,9.999999747378752e-05,0.2483898550271988,0.892419159412384,0.318109929561615
4,0.9225611686706543,9.999999747378752e-05,0.21909180283546448,0.9018952250480652,0.3004477024078369
5,0.9303467869758606,9.999999747378752e-05,0.1988026201725006,0.9011984467506409,0.28914356231689453
6,0.9384517073631287,9.999999747378752e-05,0.1801697462797165,0.9028706550598145,0.2886407971382141
7,0.9422585964202881,9.999999747378752e-05,0.1669294238090515,0.9048216342926025,0.28147614002227783
8,0.945918083190918,9.999999747378752e-05,0.15606865286827087,0.905379056930542,0.2769868075847626
9,0.9507564306259155,9.999999747378752e-05,0.14269275963306427,0.9062151908874512,0.27284011244773865
10,0.9544896483421326,9.999999747378752e-05,0.13350224494934082,0.9070512652397156,0.26840999722480774
11,0.9565772414207458,9.999999747378752e-05,0.1232040598988533,0.9081661105155945,0.26550474762916565
12,0.9613910913467407,9.999999747378752e-05,0.11568629741668701,0.9095596671104431,0.2661556899547577
13,0.9636997580528259,9.999999747378752e-05,0.10811998695135117,0.9087235331535339,0.26634305715560913
14,0.9635278582572937,9.999999747378752e-05,0.10351639240980148,0.9095596671104431,0.2653394043445587
15,0.967875063419342,9.999999747378752e-05,0.09767073392868042,0.9081661105155945,0.2583572268486023
16,0.9680224061012268,9.999999747378752e-05,0.09338150173425674,0.911928653717041,0.2601424753665924
17,0.9714362621307373,9.999999747378752e-05,0.08683620393276215,0.9077480435371399,0.2644696831703186
18,0.9730572700500488,9.999999747378752e-05,0.08142665773630142,0.9094203114509583,0.26027223467826843
19,0.9747273921966553,4.999999873689376e-05,0.0759303867816925,0.9115105867385864,0.2600714862346649
20,0.9769132733345032,4.999999873689376e-05,0.07107964903116226,0.9129041433334351,0.2617703676223755
21,0.9770851731300354,4.999999873689376e-05,0.07037317752838135,0.9123467206954956,0.2582699954509735
22,0.9782395362854004,2.499999936844688e-05,0.06831163167953491,0.9115105867385864,0.2610698342323303
23,0.9777237176895142,2.499999936844688e-05,0.06701761484146118,0.9122073650360107,0.261896014213562
24,0.9794429540634155,2.499999936844688e-05,0.06555270403623581,0.9127647876739502,0.2606642544269562
25,0.9785587787628174,1.249999968422344e-05,0.06455973535776138,0.9117892980575562,0.26153621077537537
26,0.9794429540634155,1.249999968422344e-05,0.06347064673900604,0.9131828546524048,0.26088443398475647
27,0.9798113703727722,1.249999968422344e-05,0.06342444568872452,0.9120680093765259,0.2621936798095703
28,0.9799341559410095,6.24999984211172e-06,0.0635017678141594,0.9123467206954956,0.2644432485103607
29,0.9808674454689026,6.24999984211172e-06,0.06257172673940659,0.9123467206954956,0.26463258266448975
