epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9753823280334473,9.999999747378752e-06,0.0702378898859024,0.916248619556427,0.2923075556755066
1,0.9818744659423828,9.999999747378752e-06,0.050695233047008514,0.9236343502998352,0.2871129512786865
2,0.9857877492904663,9.999999747378752e-06,0.040474504232406616,0.9217298626899719,0.30030104517936707
3,0.9879654049873352,9.999999747378752e-06,0.03450161963701248,0.9246562719345093,0.3001847565174103
4,0.9897501468658447,9.999999747378752e-06,0.02992233633995056,0.9272575378417969,0.3071233034133911
5,0.9919196367263794,4.999999873689376e-06,0.024510126560926437,0.9276291131973267,0.29547372460365295
6,0.9926891922950745,4.999999873689376e-06,0.021726898849010468,0.9280471801757812,0.29645776748657227
7,0.9933114051818848,4.999999873689376e-06,0.020086372271180153,0.9316703677177429,0.2997262179851532
8,0.9934996962547302,2.499999936844688e-06,0.019357476383447647,0.9316703677177429,0.2892865538597107
9,0.9942692518234253,2.499999936844688e-06,0.01738099195063114,0.9328316450119019,0.2958465814590454
