epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2529717981815338,9.999999747378752e-05,2.0730957984924316,0.3605072498321533,1.8839035034179688
1,0.4308871328830719,9.999999747378752e-05,1.6445454359054565,0.46780937910079956,1.5659842491149902
2,0.5398123860359192,9.999999747378752e-05,1.358293056488037,0.5797101259231567,1.2894355058670044
3,0.6004764437675476,9.999999747378752e-05,1.186851978302002,0.6248606443405151,1.1430877447128296
4,0.6478779911994934,9.999999747378752e-05,1.0374890565872192,0.6592809557914734,1.0307854413986206
5,0.6799538135528564,9.999999747378752e-05,0.9409520030021667,0.6831103563308716,0.9470418691635132
6,0.6989389657974243,9.999999747378752e-05,0.8839725852012634,0.704431414604187,0.8901373147964478
7,0.7184644937515259,9.999999747378752e-05,0.8320647478103638,0.7093088030815125,0.8631289005279541
8,0.7294429540634155,9.999999747378752e-05,0.8012123703956604,0.7289576530456543,0.8050421476364136
9,0.7406179308891296,9.999999747378752e-05,0.7638902068138123,0.7334169745445251,0.7934155464172363
10,0.7485018372535706,9.999999747378752e-05,0.7393648028373718,0.7420568466186523,0.7622556090354919
11,0.7570734024047852,9.999999747378752e-05,0.7184091806411743,0.7532051205635071,0.7446765303611755
12,0.7644906044006348,9.999999747378752e-05,0.6936627626419067,0.7558528184890747,0.7273753881454468
13,0.7680273056030273,9.999999747378752e-05,0.6765959858894348,0.7530657649040222,0.7294505834579468
14,0.7719815373420715,9.999999747378752e-05,0.6666885018348694,0.7703455686569214,0.6951179504394531
15,0.7821003794670105,9.999999747378752e-05,0.6392484903335571,0.776059091091156,0.668328583240509
16,0.7840406894683838,9.999999747378752e-05,0.6268778443336487,0.7757803797721863,0.6800482273101807
17,0.7897632122039795,9.999999747378752e-05,0.6111133694648743,0.7781493663787842,0.6565805673599243
18,0.7944788336753845,9.999999747378752e-05,0.6024107336997986,0.7587792873382568,0.7034132480621338
19,0.7999557852745056,9.999999747378752e-05,0.5830790996551514,0.7943143844604492,0.6259713172912598
20,0.8016995787620544,9.999999747378752e-05,0.5776907801628113,0.7812151908874512,0.6411071419715881
21,0.805727481842041,9.999999747378752e-05,0.5642286539077759,0.7969620823860168,0.608292281627655
22,0.8086501359939575,9.999999747378752e-05,0.5555147528648376,0.7899944186210632,0.6143319010734558
23,0.8109096884727478,9.999999747378752e-05,0.5513173341751099,0.794593095779419,0.6005983352661133
24,0.8141025900840759,9.999999747378752e-05,0.5375270247459412,0.8012820482254028,0.5891354084014893
25,0.8172217607498169,9.999999747378752e-05,0.5259542465209961,0.805462658405304,0.5790294408798218
26,0.8248845934867859,9.999999747378752e-05,0.5112970471382141,0.7994704842567444,0.5870211720466614
27,0.822526752948761,9.999999747378752e-05,0.510103166103363,0.8007246255874634,0.5792232155799866
28,0.8231162428855896,9.999999747378752e-05,0.5057806372642517,0.8138238787651062,0.5586473941802979
29,0.8326210975646973,9.999999747378752e-05,0.4879356324672699,0.8175864219665527,0.5301260352134705
