epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8540377020835876,9.999999747378752e-05,0.43604832887649536,0.8715626001358032,0.37250298261642456
1,0.9179847240447998,9.999999747378752e-05,0.23641040921211243,0.8801560997962952,0.3380129337310791
2,0.9342273473739624,9.999999747378752e-05,0.1866854876279831,0.8944165706634521,0.3036472797393799
3,0.9444689750671387,9.999999747378752e-05,0.15818938612937927,0.8952062726020813,0.30069994926452637
4,0.9516897797584534,9.999999747378752e-05,0.1366206556558609,0.9038925766944885,0.2853522300720215
5,0.9582064151763916,9.999999747378752e-05,0.12050164490938187,0.9043106436729431,0.2860383987426758
6,0.96173495054245,9.999999747378752e-05,0.10842994600534439,0.9042177796363831,0.28692641854286194
7,0.9658365249633789,9.999999747378752e-05,0.09831440448760986,0.908537745475769,0.2814149558544159
8,0.9684563279151917,9.999999747378752e-05,0.08952953666448593,0.9084912538528442,0.2818576991558075
9,0.9718292355537415,9.999999747378752e-05,0.08187057822942734,0.9086771011352539,0.2843987047672272
